date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:37:47	23042/23042	---M--	200	added ('OK')	image/jpeg	etag:%225a02-5d3eff58%22	http://www.newbird.co.kr/nbadm/data/uploads/1b5be46d72e72c1422a23164f4f19f731564409688_69194.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/1b5be46d72e72c1422a23164f4f19f731564409688_69194.jpg	(from http://www.newbird.co.kr/)
11:37:48	18882/18882	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:37:49%20GMT	http://www.newbird.co.kr/contact/	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/contact/index.html	(from http://www.newbird.co.kr/)
11:37:49	11958/11958	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:37:49%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=75	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/view999a.html	(from http://www.newbird.co.kr/)
11:37:57	79664/79664	---M--	200	added ('OK')	image/jpeg	etag:%2213730-5d42b33e%22	http://www.newbird.co.kr/nbadm/data/uploads/637445d3f9825c2b69d766a8c13a52811564652350_18839.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/637445d3f9825c2b69d766a8c13a52811564652350_18839.jpg	(from http://www.newbird.co.kr/)
11:37:59	11938/11938	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:37:59%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=51	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/view88d7.html	(from http://www.newbird.co.kr/)
11:38:14	202765/202765	---M--	200	added ('OK')	image/jpeg	etag:%223180d-5d1613cb%22	http://www.newbird.co.kr/nbadm/data/uploads/9d702e9dd6034d3e73ef315479b329d11561727947_17590.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/9d702e9dd6034d3e73ef315479b329d11561727947_17590.jpg	(from http://www.newbird.co.kr/)
11:38:15	11879/11879	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:38:16%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=98	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/view29a4.html	(from http://www.newbird.co.kr/)
11:38:25	59712/59712	---M--	200	added ('OK')	image/jpeg	etag:%22e940-5d386d15%22	http://www.newbird.co.kr/nbadm/data/uploads/ba2d46b39e91d68078e8b0b3607bf5071563979029_95066.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/ba2d46b39e91d68078e8b0b3607bf5071563979029_95066.jpg	(from http://www.newbird.co.kr/)
11:38:27	12038/12038	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:38:27%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=84	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/viewf173.html	(from http://www.newbird.co.kr/)
11:38:32	271866/271866	---M--	200	added ('OK')	image/jpeg	etag:%22425fa-5d160c2a%22	http://www.newbird.co.kr/nbadm/data/uploads/74686944b0f1f1ec7d7d2e65eea17c121561725994_28032.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/74686944b0f1f1ec7d7d2e65eea17c121561725994_28032.jpg	(from http://www.newbird.co.kr/)
11:38:34	11781/11781	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:38:34%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=94	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/view50c5.html	(from http://www.newbird.co.kr/)
11:38:37	331496/331496	---M--	200	added ('OK')	image/jpeg	etag:%2250ee8-5d19f89f%22	http://www.newbird.co.kr/nbadm/data/uploads/eb6431323adea7cb064ff9f356f639a31561983135_69655.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/eb6431323adea7cb064ff9f356f639a31561983135_69655.jpg	(from http://www.newbird.co.kr/)
11:38:39	12024/12024	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:38:39%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=97	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/view05a8.html	(from http://www.newbird.co.kr/)
11:39:08	181778/181778	---M--	200	added ('OK')	image/jpeg	etag:%222c612-5d1614a5%22	http://www.newbird.co.kr/nbadm/data/uploads/fcc21aa792fd11e3a5467cad6ee275f11561728165_561.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/fcc21aa792fd11e3a5467cad6ee275f11561728165_561.jpg	(from http://www.newbird.co.kr/)
11:39:09	11954/11954	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:39:10%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=58	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/viewa900.html	(from http://www.newbird.co.kr/)
11:40:05	342521/342521	---M--	200	added ('OK')	image/jpeg	etag:%22539f9-5d18e4e6%22	http://www.newbird.co.kr/nbadm/data/uploads/d44718cf5daacf2873ac610e5cf833481561912550_87427.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/d44718cf5daacf2873ac610e5cf833481561912550_87427.jpg	(from http://www.newbird.co.kr/)
11:40:06	12035/12035	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:40:07%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=73	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/view9f44.html	(from http://www.newbird.co.kr/)
